[0.26] 这个视频能救命就三个字
[2.48] 其实说是救命恩更合适
[4.7] 是避免悲剧的出现
[7.15] 三个字啊
[8.21] 温度差
[9.3] 去年的时候呢
[10.66] 我在那个季节里讲过这样的案例
[13.1] 但是今年我一定要提前讲
[14.78] 因为提前讲了
[16.46] 能让大家知道避免这种到冬天寒冷的时候
[19.9] 因为温度差导致死亡悲剧的出现
[22.85] 去年我用了两个案例
[24.63] 都是我接诊的
[25.65] 第一个案例是一个男士在火锅店里面吃饭
[28.97] 你想啊
[29.37] 冬天来
[29.73] 你看现在啊
[30.33] 现在已经冷了
[31.17] 我穿那个是嗯棉马甲
[33.09] 前几天特别冷
[33.89] 我已经穿了那种棉厚厚棉服了
[36.51] 已经冬天的时候在火店里面吃饭
[39.21] 但屋里边比较暖和
[40.97] 然后外面很冷
[42.97] 这个人呢他喜欢抽烟
[45.45] 然后在屋里边火车烟里面吃着吃着呢
[48.24] 哎屋里面不让抽烟呢
[49.48] 于是他就跑到外面来抽了
[50.96] 然后也没有穿太多衣服
[52.48] 想抽着烟就回去了
[53.52] 结果呢温度差一热一冷猝死
[58.14] 怀疑是一个心源性猝死
[60.91] 还有一个案例是几个男士啊
[63.35] 这哥儿几个喝酒
[64.33] 喝完酒之后也在冬天啊
[65.73] 喝完酒之后呢
[66.61] 哎说溜达回家
[67.67] 结果走到一个呃桑桑桑做桑拿的一个地方
[71.99] 然后诶他们觉得做桑拿这个地方
[74.47] 要不大家去做个桑拿蒸一蒸
[76.37] 然后洗澡
[77.39] 这样于是他们就进去了
[80.72] 然后这个男士呢在蒸桑拿的时候
[83.08] 突然间就昏迷了
[84.56] 然后开始吐
[85.52] 然后那会初步诊断是一个脑出血
[87.36] 到医院一查呢
[88.54] 大面积脑出血
[89.9] 最后这个人还是没救出来
[91.94] 这个是什么呢
[92.82] 温度差就是一冷一热
[94.14] 一热一冷
[95.509] 这种呢特别是既往血管有问题的
[98.269] 有一些心脏的问题呀
[100.069] 心脑血管疾病的行为啊
[101.469] 高血压啊
[102.069] 这些人它就容易导致一些危险情况出现心梗了
[108.15] 脑出血了这一节出现
[110.03] 所以记住啊
[110.83] 温度差有个适应的过程
[114.15] 别突然间从很热的地方到很冷
[116.27] 也不知道从很冷的地方到很热
[118.95] 还有老人啊
[119.97] 截止到冬天的时候
[120.95] 戴上帽子还是很有帮助的
[124.289] 虽然这个季节不是很冷
[125.809] 不是很冷的时候
[126.769] 但是把这个科普先提前告诉大家
[128.669] 给大家预警一下
[130.549] 先行告知一下
[131.769] 这样我觉得可不可能拥有异议吧
[134.73] 还是那句话
[135.39] 希望他们健平平安
[136.47] 别意外
