[0.0] 哈喽大家好
[0.72] 我是风吹过来的爽
[2.24] 今天又带来给大家手办开箱
[7.02] 一样是几十套的
[9.62] 爱上了集市
[10.9] 从此无法自拔
[13.06] 因为太便宜了
[15.46] 这次的价格是69
[19.3] 这里面是努最大的财产
[21.1] 也很六九
[22.24] 原年还69
[24.46] Oh my god
[37.96] 不够丝滑
[46.46] 噔噔噔噔嗯
[61.98] 猜出来了
[65.58] 没错
[67.38] 就是白河月爱
[69.9] I know joy
[71.05] Host collection
[72.41] Plate is never empty
[74.89] 我们的白河月爱
[81.74] 这个封面还是依旧的好看
[87.92] 喜欢手办也很好看
[103.02] 嘘做工有问题
[118.68] 见的比较多的呢还是塑料壳
[123.19] 我的天
[124.17] 这看起来很简陋
[128.44] 怎么说呢
[140.36] 我的天你们能想到吗
[143.54] 这怎么像二手商贩卖出来的东西啊
[151.8] 这头直接露在这了
[154.64] 我的天还没打开
[156.76] 它就已经看着我们了
[157.98] 我太期待了
[168.12] 我丢哎呦
[169.06] 这不能
[176.94] 啧确确实实是二手商贩的包装
[180.5] 但是我要声明
[182.06] 这是B站发货
[185.45] 正品直发
[190.04] 这是这个
[194.16] 产品本身的问题
[197.58] 我的天哦
[199.84] 这样伸进去取出来的吗
[206.74] 嗯这个底座还是比较清新
[210.54] 淡蓝色
[212.78] 很年轻嗯
[220.54] 好已经摸到了
[227.04] 但不得不说这个手办做的还是可以的
[232.12] 挺好看的
[234.4] 跟官图看不出有什么区别啊
[240.64] 哎这里这有点小瑕疵
[247.86] 嗯就这个点
[250.94] 但是总体来说还是非常完美的
[255.86] 看不出很有哪些问题啊
[259.64] 其他地方好的
[262.529] 咱们上底座
[266.66] 不亏不亏
[267.5] 这69完全不亏
[269.06] 虽然包装盒简陋了点
[280.38] 我们的白魔越爱了
[282.08] 你爱了吗
[284.1] 反正我是爱了
[290.14] 这颜色
[294.02] 摄像机拍出来有点暗
[295.52] 但实际上还是挺好看的
[300.17] 当然这不是什么摄像机啊
[301.65] 这是手机
[302.29] 这是手机
[308.6] 感觉很适合拍组图片
[322.28] 总体来说呢还是非常满意的
[325.08] 这个手办非常nice
[329.56] OK感谢大家观看我的视频
[334.24] 谢谢大家
