[0.62] 哈喽大家好
[1.1] 我是刘三少
[2.08] 四强快开打了
[3.62] 那这期呢还是照例简单回顾回顾八强吃吃瓜
[6.38] 那第一场WBG和LNG的内战呢
[8.799] 其实也没啥好说的
[10.039] BP方面呢更像是WBG玩的是现代
[12.54] 我LNG玩的是怀旧服啊
[14.62] Scout永恩也够抽象的
[15.98] 不会跟gala私下立了个什么
[17.5] 打进八强就免息的协议
[18.759] 1BP呢也是一坨感情
[20.479] 那么长的休赛期
[21.659] LNG好像全队都在纯休息
[23.98] 那WBG也有话说啊
[25.58] 你拿什么研究我人生轮吗
[27.18] 啊错了
[28.06] 早进化喽
[29.02] BLG打韩华
[29.86] 这场的赛前大伙对BLG的状态还是比较担心的
[32.54] 但没想到选手倒还挺放松啊
[36.84] Battle combi e sports and him being here with this team
[39.76] I think is very significant
[41.04] Yeah
[41.2] And alk emily
[42.42] Would you have funk it
[43.519] No
[43.999] I wouldn't have if you go back uas
[46.359] I
[46.819] 第一场的BLG真是被韩华打的没啥脾气
[49.239] 但多兰真是是LPL的好兄弟啊
[51.56] 多次化身BLG第六人
[53.32] 将韩华置于水火
[54.58] 玩武器
[55.1] 打不过纳尔玩纳尔打不过武器
[57.18] 满怒不放技能
[58.4] 小纳尔当大纳尔玩大纳尔
[60.34] 当小纳尔玩
[60.98] 玩多兰还是太稳定了
[62.3] 但除了他以外
[63.14] 其余人全部操作拉满
[64.6] 尤其是第四场的双英雄登场
[66.82] 看的人真是头皮发麻
[68.26] 堪称世界名画
[69.46] 当然后面BLG的四打五以及elk的卡莎绝境
[72.3] 一打三都很带劲
[73.32] 总之这场比赛真的属于让人忍不住
[75.58] 一直回味的经典战役
[77.18] 韩国解说看到BLG如此强悍的表现
[79.22] 也在感叹的噩梦回来了
[81.24] 如果他们能在后面继续保持这个镜头的话
[83.72] 那说不定还真能夺冠
[84.92] 那滔博对阵T1啊
[86.44] 这场我多说一说啊
[87.52] 如果说前一天的比赛是大战一宿之后的
[90.12] 酣畅淋漓
[90.76] 那么这天滔博打T1的比赛
[92.36] 那就是被束缚住的搜查官啊
[94.14] 纯被吊打
[94.8] 这三把谁的问题最大呢
[96.44] 嗯我的问题最大
[97.56] 我就不该抛弃女主播去看什么滔博打T1啊
[100.4] 但从结果来说呢
[102.02] 呃滔博的发挥跟女主播的摇晃一样啊
[104.9] 都做到了
[105.46] 让我呼吸急促
[106.42] 脸红心跳
[107.08] 区别就是一个想让我打别人
[108.64] 一个想让我打自己
[109.72] 作为一个年近30观赛
[111.36] 今年十去年的中情人呢
[113.06] 自以为已经可以做到
[114.18] 看任何比赛都能波澜不惊啊
[116.1] 但滔博对不起
[117.2] 我错了
[117.72] 你的发挥成功让我红着脸躲避
[119.56] 第一把被T1牵着绳子溜了一整局
[121.96] 最后一脚给踹死
[123.08] 第二把的BP虽然被当天解说的王多多录屏
[125.78] 愚蠢的阵容
[126.84] 无AOE加无远距离开团加无机动性啊
[129.98] 但我觉得瑞平的还是太温和了
[131.98] 杠15诶
[133.14] 朋友一个人头都拿不到
[134.98] 先不谈
[135.34] 你这15是不是有点过于多了
[137.42] 中路推塔放先锋
[138.66] 结果塔还没撞AD坐上了这个加里奥的失误
[141.42] 后边再统一说啊
[142.5] 这把哥几个的战真的太恐怖了
[144.7] 030030020030040哇
[147.42] 这这这是八强赛生死局
[150.0] 小奶油又要约一个即将满怒的纳尔
[152.1] 我是看不懂的
[152.94] Jackeylove
[153.38] 冰墩儿待的好好的
[154.42] 结果在茫茫海里露头
[156.04] 被KIAQRE配合古马收走
[158.1] 我也是看不懂的
[159.3] 369耍个金字诀
[160.7] 凯南我是更看不懂的
[162.06] 真凯南当司空震呢
[163.48] 我们回顾一下去年369打T1的表现啊
[165.72] 第一把开局3分钟
[166.84] 兰博强压剑魔
[167.8] 被打野逮到
[168.56] 送一个六分
[169.34] 用不到
[169.74] 在有闪的情况下被宙斯满血抗塔单杀
[172.62] 这个闪啊到死都不按
[174.08] 15分钟补刀数61大招放的什么水平
[176.72] 我就不提了
[177.36] 第三把8分钟
[178.36] 八级先手开大的鳄鱼被七级的宙斯吓出闪现
[181.46] 直接导致京东后续的先锋团烂掉
[183.52] 龙坑开大的鳄鱼边缘ob在最好的入场时机
[186.44] 不入场
[186.92] 硬生生给自己大招熬没
[188.34] 今年又是这死出
[189.74] 兰博被宙斯正反手教学
[191.38] 拿加里奥闪现秒W再接E被宙斯一个闪现化解
[195.18] 哎这个连招罗德么先不谈你
[197.06] 你这控制最小化的一套
[198.38] 是要配合哪个队友秒宙斯呢
[200.1] 佛耶戈远在千里的塞拉斯大龙团被赵信吓出
[203.06] W强势嘲讽了一波空气
[205.06] 还有大半管血的情况下
[206.86] 莫名其妙开个金身
[208.04] 然后被狐狸压起身
[209.32] 魅惑在有大有闪的情况下
[211.08] 做到了贡献最小化
[212.2] 很喜欢传奇辅助wolf的评价
[215.2] 还you play it
[216.459] 他家超话就会给你一顿
[219.779] 打不了就没死啊
[220.859] 我去找同样的没事
[223.36] 那个五啊
[225.84] 你也不要紧张
[227.32] 从不把你的一个农民的能想起pro
[232.81] 给你8分钟
[234.27] 可能还六个
[236.11] 我有菜啊
[243.13] 齐军队对面可以吗
[244.53] 哈哈哎呀
[245.57] 草最后一把了
[246.93] AD凯南啊
[247.65] 不谈奇招是真奇招
[249.07] 用也是真没用
[250.1] 我滴个六九哇
[251.42] 你都看到波比开W直直勾勾的朝你走过来了
[254.1] 你怎么就死死不交闪现拉开呀
[256.6] 我滴哥
[257.32] 你出这AD的装备
[258.6] 打算干AP的活
[259.779] 类似的场面还有很多啊
[261.139] 当然除了369之外
[262.179] 上到教练
[262.859] 下到选手也都干了啊
[264.299] 更让我难以理解的是
[265.419] MEIKO能在赛后说出我们对对手的信息
[267.699] 不了解这种话的喂
[269.04] 休赛期那几天你们干嘛去了
[270.58] 你们也是up主做视频去了
[272.16] 这不是瑞士轮
[273.3] 对手轮着换
[274.16] 这是八强啊
[275.2] 大哥你要队内全是新人
[276.68] 我还能理解
[277.32] 但369小傲天JACKEYLOVEMEIKO
[279.88] 对T1信息不了解哇
[281.64] 那那那那T1真是变化多端
[283.48] 这么多年了都没让你们摸到一点门道啊
[285.48] 不过讲道理啊
[286.44] 每次都走的很不体面
[287.8] 那也是一种S12小组赛关键局输越南
[291.1] 成越南俘虏
[291.98] S13没劲不谈
[293.2] 今年MSI1句万一输了
[294.72] 那就大满败吧
[295.56] 官博严厉谴责
[296.48] 结果反手还真输了
[297.88] 十四八强赛被踢完零封
[299.92] 还达成了S赛历史上第一次
[301.76] 也是目前唯一一次在八强赛出现零封的成就啊
[305.04] 合着你滔博的T1S是特恶神的意思啊
[308.78] 里头都是小馋猫
[309.78] 这好事全让你小子赶上了
[311.26] 上次滔博在S赛赢下BO5呢
[312.98] 还要追溯到1400多天前的是八强赛啊
[315.94] 让二追三击败FNATI啊
[317.56] 没错就是打进四强就算成功的那年啊
[320.42] 偶尔硬
[321.06] 那不叫硬
[321.76] 唯有常红酒才是检验硬的唯一标准
[324.66] 而滔博这支队伍屡屡在关键时刻拉垮
[326.98] 就说明了很多问题啊
[328.22] 我为为什么视频出这么晚
[329.54] 就是因为我想着
[330.34] 可能过两天我看问题的角度可能会更理智一些
[332.82] 但后来发现这三场的发挥确实无无法让人理智
[335.68] 赛训组是干嘛的
[337.14] 教练是干嘛的
