[0.9] 很多父母和孩子沟通更像是在驯化动物
[4.46] 诶
[4.74] 这萝卜咋没见你吃啊
[6.38] 我不爱吃萝卜
[7.75] 为啥不爱吃
[8.75] 萝卜有营养
[9.55] 我要吃别的菜啊
[10.83] 我辛辛苦苦给你做的
[11.87] 你不吃啊
[12.35] 我真的真不想吃啊
[14.09] 不知好歹啊
[15.06] 别人都能吃
[15.94] 你哪来的这个毛病
[17.12] 这种对话发展下去
[18.56] 要么大吵起来
[19.56] 一根萝卜引发的血案
[21.08] 要么孩子长记性了以后遇到类似情况
[23.72] 忍一忍也就吃了
[25.18] 这其实就是一种服从性测试
[27.6] 让孩子听话
[28.52] 不是以理服人
[29.62] 更像一种强制性训话
[34.96] 之前网上有一种恶心的视频
[37.38] 怎么喂大弟弟
[41.0] 啊你害的味道去哪
[44.99] 什么味道要吃味道
[47.979] 父母不同意孩子养螃蟹宠物
[50.179] 然后把螃蟹给吃
[51.4] 还逼着孩子吃
[52.6] 孩子痛哭流涕
[53.8] 父母哈哈大笑
[54.88] 评论区也调侃
[55.9] 意思是孩子太可爱了
[57.56] 父母太损了
[58.86] 但这是很很多大人都会犯的错误
[61.76] 对孩子来说是天塌下来的事情
[64.4] 但家长觉得孩子不会记仇
[66.62] 孩子嘛缺心少肺
[68.56] 很快会忘孩子嘛
[70.38] 哪有完整的情绪啊
[71.81] 甚至有那种孩子被确诊抑郁症了
[74.97] 家长对医生说
[76.06] 小孩儿哪懂什么抑郁啊
[78.1] 本质是他们没把孩子当做是完整
[81.6] 先是爱不爱吃大人做的饭
[83.7] 然后穿衣是否符合大人审美
[86.64] 最后到选什么专业工作方向
[89.2] 把很多事都看作要纠正的坏毛病
[92.74] 不分特殊情况和原因
[94.32] 以至于很多人哪怕30岁经济自由了
[97.72] 买衣服稍微贵一点
[99.08] 想旅游
[99.56] 不看演唱会
[100.28] 类似事情还是尽量不和家里说
[102.56] 会被爸妈定义为乱花钱
[104.36] 坏毛病
[104.84] 解释起来太麻烦了
[106.17] 其次服从性测试下的家庭环境
[108.67] 很难有平等的沟通
[110.14] 底层逻辑是很多长辈
[111.86] 依赖自己在家庭中的权威和掌控力
[115.34] 将观点不和的沟通视作对权威的破坏
[118.68] 有时候很简单的道理
[120.02] 想和长辈说通
[121.16] 可一字一句传达起来
[123.06] 就那么难
[123.9] 家长口头禅
